TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
372;1217;43GS0014/KIONYO/XEA23F02;43GS0014/KIONYO/XEA23F02/;XEA23F02;XEA23F02;43GS0014;C;11;675;30;11;675;52;253;52;16;1;05-Sep-17;2016-2017;3415.5
373;1218;46NG0014/NDARUGU/AB0039;46NG0014/NDARUGU/AB0039/;AB0039;AB0039;46NG0014;C;93;5638;30;93;5638;39;259;39;16;1;05-Sep-17;2016-2017;29204.84
374;1219;44GS2400/BULK;44GS2400/BULK;C;42;2554;30;42;2554;52;259;52;16;1;05-Sep-17;2016-2017;13229.72;;;
375;1220;47GS2400/BULK;47GS2400/BULK;C;68;4147;30;68;4147;226;234;54;16;2;05-Sep-17;2016-2017;19407.96;;;
376;1221;41GS0039/KENYENYA/XEA17F01;41GS0039/KENYENYA/XEA17F01/;XEA17F01;XEA17F01;41GS0039;C;15;950;30;15;950;39;258;39;16;2;05-Sep-17;2016-2017;4902
377;1222;44NG0003/MUKUYUNI/XBE28F01;44NG0003/MUKUYUNI/XBE28F01/;XBE28F01;XBE28F01;44NG0003;C;45;2706;30;45;2706;52;268;52;16;1;05-Sep-17;2016-2017;14504.16
378;1223;46NG0040/CHANIA BRIDGE/AB0008;46NG0040/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0040;C;51;3119;30;51;3119;39;253;39;16;2;05-Sep-17;2016-2017;15782.14
379;1224;46NG1012/BULK;46NG1012/BULK;C;64;3869;30;64;3869;52;254;52;16;2;05-Sep-17;2016-2017;19654.52;;;
380;1225;42NG0043/IYEGO/XAB13F01;42NG0043/IYEGO/XAB13F01/;XAB13F01;XAB13F01;42NG0043;C;55;3330;30;55;3330;78;263;78;16;2;05-Sep-17;2016-2017;17515.8
381;1226;46NG1004/THANGA-INI FCS/XAB20;46NG1004/THANGA-INIFCS/XAB20/;XAB20;XAB20;46NG1004;C;63;3792;30;63;3792;52;263;52;16;2;05-Sep-17;2016-2017;19945.92
382;1227;46NG1008/BULK;46NG1008/BULK;AB;10;641;30;10;641;74;237;74;16;1;05-Sep-17;2016-2017;3038.34;;;
383;1228;46NG0041/CHANIA BRIDGE/AB0008;46NG0041/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0041;AB;11;709;30;11;709;62;272;62;16;1;05-Sep-17;2016-2017;3856.96
384;1229;46MT2013/BULK;46MT2013/BULK;AB;15;911;30;15;911;51;145;51;16;2;05-Sep-17;2016-2017;2641.9;;;
